a	I1
2.613	7.6
2.608	8.4
2.602	9.2
2.597	10.8
2.592	13.6
2.586	18.4
2.581	24.4
2.576	30.4
2.570	34.0
2.565	35.6
2.560	35.6
2.554	33.6
2.549	30.8
2.544	27.2
2.538	23.6
2.533	20.4
2.528	17.2
2.522	14.8
2.517	12.8
2.512	11.2
2.506	10.0
2.501	9.2
2.496	8.4
2.490	8.0
2.485	7.6
2.480	7.2
2.474	6.8
2.469	6.8
2.464	6.8
2.458	7.2
2.453	7.6
2.448	8.0
2.442	9.2
2.437	10.8
2.432	13.6
2.426	18.0
2.421	23.2
2.416	28.8
2.410	33.2
2.405	35.6
2.400	36.0
2.394	35.6
2.389	32.8
2.384	30.0
2.378	26.8
2.373	23.2
2.368	20.0
2.362	17.2
2.357	14.8
2.352	13.2
2.346	11.6
2.341	10.4
2.336	9.6
2.330	8.8
2.325	8.4
2.320	8.0
2.314	7.6
2.309	7.2
2.304	7.2
2.298	7.2
2.293	7.2
2.288	7.6
2.282	7.6
2.277	8.0
2.272	8.8
2.266	10.0
2.261	12.0
2.256	15.6
2.250	20.0
2.245	25.2
2.240	30.0
2.234	33.2
2.229	34.8
2.223	34.8
2.218	34.0
2.213	32.0
2.207	30.0
2.202	27.2
2.197	23.6
2.191	20.4
2.186	17.6
2.181	15.2
2.175	13.6
2.170	12.4
2.165	11.2
2.159	10.0
2.154	9.2
2.149	8.8
2.143	8.0
2.138	7.6
2.133	7.6
2.127	7.2
2.122	7.2
2.117	7.2
2.111	7.2
2.106	7.2
2.101	7.2
2.095	7.6
2.090	8.0
2.085	8.8
2.079	9.6
2.074	11.2
2.069	14.0
2.063	17.6
2.058	22.4
2.053	29.6
2.047	32.4
2.042	34.8
2.037	36.0
2.031	36.4
2.026	35.6
2.021	34.0
2.015	32.0
2.010	29.2
2.005	26.4
1.999	23.6
1.994	20.8
1.989	18.4
1.983	16.0
1.978	14.0
1.972	12.4
1.967	11.2
1.962	10.4
1.956	9.6
1.951	9.2
1.946	8.8
1.940	8.0
1.935	7.6
1.930	7.6
1.924	7.6
1.919	7.2
1.914	7.2
1.908	7.2
1.903	7.2
1.898	7.2
1.892	7.2
1.887	7.6
1.882	8.0
1.876	8.8
1.871	9.6
1.866	10.8
1.860	12.8
1.855	16.0
1.850	19.6
1.844	23.6
1.839	28.0
1.834	31.6
1.828	34.4
1.823	36.0
1.818	36.8
1.812	36.4
1.807	35.2
1.802	33.6
1.796	31.6
1.791	28.8
1.786	26.4
1.780	23.6
1.775	20.8
1.769	18.8
1.764	16.8
1.759	15.2
1.753	13.6
1.748	12.4
1.743	11.2
1.737	10.4
1.732	10.0
1.727	9.6
1.721	9.2
1.716	8.8
1.711	8.0
1.705	8.0
1.700	8.0
1.695	7.6
1.689	7.2
1.684	7.2
1.679	7.2
1.673	7.6
1.668	7.6
1.663	7.6
1.657	7.6
1.652	7.6
1.647	8.0
1.641	8.4
1.636	9.2
1.631	10.0
1.625	11.2
1.620	12.8
1.615	15.2
1.609	18.4
1.604	22.4
1.599	26.4
1.593	30.0
1.588	32.8
1.582	35.2
1.577	36.0
1.572	36.0
1.566	35.6
1.561	35.6
1.556	34.8
1.550	33.2
1.545	31.6
1.540	29.2
1.534	26.8
1.529	24.4
1.524	22.0
1.518	19.6
1.513	17.6
1.508	16.0
1.502	14.4
1.497	13.2
1.492	12.0
1.486	11.2
1.481	10.4
1.476	10.0
1.470	9.6
1.465	9.2
1.460	8.8
1.454	8.4
1.449	8.4
1.444	8.0
1.438	8.0
1.433	8.0
1.428	8.0
1.422	8.0
1.417	7.6
1.411	7.2
1.406	7.6
1.401	7.6
1.395	7.6
1.390	7.6
1.385	7.6
1.379	7.6
1.374	8.0
1.369	8.4
1.363	8.4
1.358	8.8
1.353	9.2
1.347	9.6
1.342	10.4
1.337	11.6
1.331	13.2
1.326	15.2
1.321	17.6
1.315	20.8
1.310	24.4
1.305	28.0
1.299	31.6
1.294	34.8
1.289	37.2
1.283	39.2
1.278	40.4
1.273	40.8
1.267	40.4
1.262	39.6
1.256	38.4
1.251	36.8
1.246	34.8
1.240	32.8
1.235	30.8
1.230	28.4
1.224	26.0
1.219	24.0
1.214	21.6
1.208	19.6
1.203	18.0
1.198	16.8
1.192	15.6
1.187	14.4
1.182	13.2
1.176	12.4
1.171	11.6
1.166	11.2
1.160	10.4
1.155	10.0
1.150	9.6
1.144	9.2
1.139	8.8
1.134	8.4
1.128	8.4
1.123	8.0
1.118	8.0
1.112	8.0
1.107	7.6
1.101	7.6
1.096	7.6
1.091	7.6
1.085	7.2
1.080	7.2
1.075	7.2
1.069	7.2
1.064	7.2
1.059	7.2
1.053	7.2
1.048	7.6
1.043	7.6
1.037	7.6
1.032	7.6
1.027	8.0
1.021	8.0
1.016	8.0
1.011	8.0
1.005	8.0
1.000	8.4
0.995	8.8
0.989	8.8
0.984	9.2
0.979	9.6
0.973	10.0
0.968	10.4
0.962	11.2
0.957	12.0
0.952	13.2
0.946	14.4
0.941	15.6
0.936	17.2
0.930	19.2
0.925	21.6
0.920	24.0
0.914	26.8
0.909	29.6
0.904	32.4
0.898	35.2
0.893	37.6
0.888	39.6
0.882	41.2
0.877	42.4
0.872	43.2
0.866	43.6
0.861	43.6
0.856	43.2
0.850	42.4
0.845	41.2
0.840	39.6
0.834	38.0
0.829	36.8
0.823	35.2
0.818	33.2
0.813	31.6
0.807	30.0
0.802	28.4
0.797	26.8
0.791	25.2
0.786	23.6
0.781	22.4
0.775	20.8
0.770	19.6
0.765	18.4
0.759	17.2
0.754	16.4
0.749	15.2
0.743	14.4
0.738	13.6
0.733	12.8
0.727	12.4
0.722	12.0
0.717	11.6
0.711	11.2
0.706	11.2
0.701	10.8
0.695	10.4
0.690	10.0
0.684	9.6
0.679	9.2
0.674	9.2
0.668	9.2
0.663	8.8
0.658	8.4
0.652	8.4
0.647	8.4
0.642	8.4
0.636	8.0
0.631	8.0
0.626	8.0
0.620	7.6
0.615	7.2
0.610	7.2
0.604	6.8
0.599	6.8
0.594	6.8
0.588	6.8
0.583	6.8
0.578	6.8
0.572	6.8
0.567	6.8
0.561	6.8
0.556	6.8
0.551	6.8
0.545	6.8
0.540	6.4
0.535	6.4
0.529	6.4
0.524	6.4
0.519	6.4
0.513	6.4
0.508	6.4
0.503	6.4
0.497	6.4
0.492	6.4
0.487	6.4
0.481	6.4
0.476	6.4
0.471	6.4
0.465	6.4
0.460	6.4
0.455	6.4
0.449	6.4
0.444	6.4
0.438	6.4
0.433	6.4
0.428	6.4
0.422	6.4
0.417	6.4
0.412	6.4
0.406	6.4
0.401	6.4
0.396	6.4
0.390	6.4
0.385	6.4
0.380	6.4
0.374	6.4
0.369	6.8
0.364	6.8
0.358	6.8
0.353	6.8
0.348	6.8
0.342	7.2
0.337	7.2
0.332	7.2
0.326	7.2
0.321	7.2
0.316	7.2
0.310	7.2
0.305	7.2
0.299	7.2
0.294	7.2
0.289	7.2
0.283	7.2
0.278	7.2
0.273	7.2
0.267	7.6
0.262	7.6
0.257	7.6
0.251	7.6
0.246	7.6
0.241	7.6
0.235	8.0
0.230	8.0
0.225	8.0
0.219	8.0
0.214	8.0
0.209	8.0
0.203	8.0
0.198	8.0
0.193	8.0
0.187	8.0
0.182	8.0
0.176	8.0
0.171	8.0
0.166	8.0
0.160	8.4
0.155	8.4
0.150	8.4
0.144	8.4
0.139	8.4
0.134	8.4
0.128	8.4
0.123	8.4
0.118	8.4
0.112	8.4
0.107	8.4
0.102	8.4
0.096	8.4
0.091	8.4
0.086	8.8
0.080	8.4
0.075	8.4
0.070	8.4
0.064	8.8
0.059	8.8
0.053	8.8
0.048	8.8
0.043	8.8
0.037	8.8
0.032	8.8
0.027	8.8
0.021	8.8
0.016	8.8
0.011	8.8
0.005	8.4
0.000	8.4
-0.005	8.0
-0.011	8.0
-0.016	8.0
-0.021	8.0
-0.027	8.0
-0.032	8.0
-0.037	8.0
-0.043	8.0
-0.048	8.0
-0.053	8.0
-0.059	7.6
-0.064	7.6
-0.070	7.6
-0.075	7.6
-0.080	7.6
-0.086	7.6
-0.091	7.6
-0.096	7.6
-0.102	7.6
-0.107	7.6
-0.112	7.6
-0.118	7.6
-0.123	7.2
-0.128	7.2
-0.134	7.2
-0.139	7.2
-0.144	7.2
-0.150	7.2
-0.155	7.2
-0.160	7.2
-0.166	7.2
-0.171	7.2
-0.176	7.2
-0.182	7.2
-0.187	7.2
-0.193	7.2
-0.198	6.8
-0.203	6.8
-0.209	6.8
-0.214	6.8
-0.219	6.8
-0.225	6.8
-0.230	6.8
-0.235	6.8
-0.241	6.8
-0.246	6.8
-0.251	6.4
-0.257	6.4
-0.262	6.4
-0.267	6.4
-0.273	6.4
-0.278	6.4
-0.283	6.4
-0.289	6.4
-0.294	6.4
-0.299	6.4
-0.305	6.4
-0.310	6.4
-0.316	6.4
-0.321	6.4
-0.326	6.4
-0.332	6.4
-0.337	6.4
-0.342	6.8
-0.348	6.8
-0.353	6.8
-0.358	6.8
-0.364	6.8
-0.369	6.8
-0.374	6.8
-0.380	6.8
-0.385	6.8
