a	I1
2.426	37.8
2.421	39.2
2.416	41.5
2.410	44.6
2.405	47.8
2.400	50.5
2.394	53.4
2.389	53.0
2.384	52.1
2.378	50.9
2.373	49.8
2.368	49.1
2.362	48.8
2.357	48.2
2.352	47.1
2.346	45.2
2.341	42.8
2.336	40.0
2.330	37.1
2.325	34.0
2.320	31.2
2.314	28.7
2.309	26.6
2.304	25.1
2.298	24.3
2.293	24.2
2.288	25.0
2.282	26.6
2.277	29.0
2.272	31.7
2.266	34.1
2.261	35.8
2.256	37.3
2.250	38.6
2.245	40.2
2.240	42.4
2.234	45.2
2.229	47.7
2.223	49.5
2.218	50.6
2.213	51.0
2.207	50.9
2.202	50.3
2.197	49.2
2.191	48.0
2.186	46.8
2.181	45.7
2.175	44.3
2.170	42.8
2.165	41.5
2.159	39.9
2.154	38.0
2.149	35.9
2.143	33.5
2.138	31.4
2.133	29.3
2.127	27.3
2.122	25.9
2.117	24.9
2.111	24.4
2.106	24.6
2.101	25.5
2.095	27.2
2.090	29.3
2.085	31.5
2.079	33.5
2.074	35.2
2.069	36.8
2.063	37.9
2.058	39.1
2.053	41.7
2.047	43.4
2.042	45.9
2.037	48.4
2.031	50.6
2.026	52.1
2.021	52.7
2.015	52.5
2.010	51.8
2.005	51.0
1.999	50.1
1.994	49.6
1.989	49.2
1.983	48.9
1.978	48.2
1.972	47.0
1.967	45.3
1.962	43.3
1.956	40.9
1.951	38.4
1.946	35.9
1.940	33.3
1.935	31.2
1.930	29.2
1.924	27.4
1.919	25.8
1.914	24.9
1.908	24.1
1.903	24.1
1.898	24.5
1.892	25.7
1.887	27.3
1.882	29.3
1.876	31.3
1.871	33.2
1.866	34.8
1.860	36.2
1.855	37.4
1.850	38.5
1.844	39.8
1.839	41.5
1.834	43.5
1.828	45.9
1.823	48.3
1.818	50.4
1.812	51.9
1.807	52.9
1.802	53.1
1.796	52.8
1.791	52.0
1.786	51.1
1.780	50.2
1.775	49.6
1.769	49.1
1.764	48.9
1.759	48.5
1.753	47.9
1.748	46.8
1.743	45.2
1.737	43.4
1.732	41.3
1.727	39.1
1.721	36.9
1.716	34.6
1.711	31.5
1.705	30.1
1.700	28.5
1.695	26.9
1.689	25.7
1.684	24.8
1.679	24.1
1.673	23.8
1.668	24.0
1.663	24.8
1.657	25.9
1.652	27.4
1.647	29.1
1.641	31.0
1.636	33.0
1.631	34.5
1.625	35.9
1.620	37.1
1.615	38.0
1.609	38.8
1.604	39.7
1.599	40.9
1.593	42.1
1.588	43.7
1.582	45.6
1.577	47.3
1.572	48.8
1.566	50.0
1.561	51.1
1.556	52.2
1.550	53.0
1.545	53.0
1.540	52.4
1.534	51.5
1.529	50.7
1.524	49.9
1.518	49.5
1.513	49.1
1.508	48.9
1.502	48.6
1.497	48.3
1.492	47.5
1.486	46.4
1.481	45.0
1.476	43.4
1.470	41.7
1.465	39.7
1.460	37.7
1.454	35.7
1.449	33.7
1.444	31.8
1.438	30.1
1.433	28.6
1.428	27.1
1.422	25.9
1.417	25.1
1.411	24.3
1.406	23.8
1.401	23.5
1.395	23.6
1.390	24.0
1.385	24.7
1.379	25.6
1.374	27.0
1.369	29.3
1.363	30.5
1.358	32.0
1.353	33.5
1.347	34.9
1.342	36.1
1.337	36.9
1.331	37.6
1.326	38.2
1.321	38.9
1.315	39.7
1.310	40.5
1.305	41.5
1.299	42.8
1.294	44.5
1.289	46.4
1.283	48.4
1.278	50.5
1.273	52.3
1.267	53.7
1.262	54.8
1.256	55.3
1.251	55.6
1.246	55.3
1.240	54.7
1.235	53.9
1.230	52.8
1.224	51.6
1.219	50.6
1.214	49.6
1.208	48.8
1.203	48.4
1.198	48.3
1.192	48.3
1.187	48.4
1.182	48.4
1.176	48.4
1.171	48.0
1.166	47.3
1.160	46.4
1.155	45.1
1.150	43.8
1.144	42.3
1.139	40.4
1.134	38.6
1.128	36.7
1.123	34.9
1.118	33.3
1.112	31.8
1.107	30.3
1.101	29.0
1.096	27.7
1.091	26.5
1.085	25.5
1.080	24.6
1.075	23.9
1.069	23.4
1.064	23.0
1.059	22.6
1.053	22.5
1.048	22.5
1.043	22.5
1.037	22.8
1.032	23.2
1.027	24.1
1.021	24.6
1.016	25.6
1.011	26.7
1.005	28.0
1.000	29.2
0.995	30.8
0.989	32.4
0.984	34.0
0.979	35.1
0.973	36.1
0.968	37.0
0.962	38.0
0.957	39.0
0.952	39.7
0.946	40.1
0.941	40.5
0.936	40.5
0.930	40.6
0.925	40.7
0.920	41.1
0.914	41.3
0.909	41.7
0.904	42.3
0.898	43.3
0.893	44.6
0.888	46.0
0.882	47.5
0.877	49.0
0.872	50.6
0.866	52.3
0.861	53.9
0.856	55.1
0.850	56.0
0.845	56.5
0.840	56.7
0.834	56.6
0.829	56.4
0.823	56.2
0.818	55.8
0.813	55.2
0.807	54.4
0.802	53.5
0.797	52.3
0.791	51.2
0.786	50.1
0.781	49.1
0.775	48.2
0.770	47.4
0.765	46.7
0.759	46.2
0.754	45.7
0.749	45.4
0.743	45.3
0.738	45.3
0.733	45.4
0.727	45.8
0.722	46.5
0.717	47.4
0.711	48.1
0.706	48.6
0.701	48.9
0.695	48.8
0.690	48.5
0.684	48.2
0.679	47.5
0.674	46.7
0.668	45.9
0.663	45.0
0.658	44.1
0.652	43.1
0.647	41.9
0.642	40.7
0.636	39.3
0.631	37.9
0.626	36.4
0.620	35.1
0.615	33.9
0.610	32.8
0.604	31.8
0.599	31.0
0.594	30.2
0.588	29.4
0.583	28.5
0.578	27.9
0.572	27.1
0.567	26.4
0.561	25.9
0.556	25.5
0.551	24.9
0.545	24.3
0.540	23.9
0.535	23.5
0.529	23.1
0.524	22.7
0.519	22.3
0.513	22.1
0.508	21.9
0.503	21.7
0.497	21.5
0.492	21.4
0.487	21.2
0.481	21.2
0.476	21.1
0.471	21.0
0.465	20.9
0.460	20.8
0.455	20.6
0.449	20.6
0.444	20.6
0.438	20.6
0.433	20.5
0.428	20.6
0.422	20.6
0.417	20.7
0.412	20.8
0.406	20.9
0.401	21.1
0.396	21.2
0.390	21.2
0.385	21.3
0.380	21.4
0.374	21.8
0.369	22.0
0.364	22.1
0.358	22.4
0.353	22.7
0.348	22.8
0.342	23.4
0.337	23.4
0.332	23.6
0.326	23.9
0.321	24.2
0.316	24.5
0.310	24.9
0.305	25.2
0.299	25.6
0.294	25.9
0.289	26.3
0.283	26.7
0.278	27.0
0.273	27.4
0.267	27.8
0.262	28.2
0.257	28.6
0.251	29.0
0.246	29.4
0.241	29.8
0.235	30.2
0.230	30.6
0.225	31.0
0.219	31.4
0.214	31.7
0.209	32.0
0.203	32.3
0.198	32.5
0.193	32.9
0.187	33.0
0.182	33.4
0.176	33.7
0.171	34.0
0.166	34.2
0.160	34.5
0.155	34.7
0.150	34.9
0.144	35.0
0.139	35.2
0.134	35.3
0.128	35.4
0.123	35.5
0.118	35.5
0.112	35.4
0.107	35.4
0.102	35.4
0.096	35.5
0.091	35.7
0.086	35.7
0.080	35.8
0.075	35.8
0.070	35.8
0.064	35.7
0.059	35.8
0.053	35.7
0.048	35.7
0.043	35.6
0.037	35.5
0.032	35.4
0.027	35.1
0.021	35.0
0.016	34.8
0.011	34.4
0.005	34.0
0.000	33.2
-0.005	32.5
-0.011	32.0
-0.016	31.6
-0.021	31.6
-0.027	31.6
-0.032	31.6
-0.037	31.6
-0.043	31.3
-0.048	30.9
-0.053	30.3
-0.059	29.8
-0.064	29.4
-0.070	29.0
-0.075	28.7
-0.080	28.3
-0.086	27.9
-0.091	27.5
-0.096	27.1
-0.102	26.7
-0.107	26.5
-0.112	26.1
-0.118	25.7
-0.123	25.4
-0.128	25.2
-0.134	24.9
-0.139	24.6
-0.144	24.2
-0.150	23.9
-0.155	23.7
-0.160	23.5
-0.166	23.2
-0.171	22.9
-0.176	22.6
-0.182	22.5
-0.187	22.2
-0.193	22.0
-0.198	21.7
-0.203	21.6
-0.209	21.4
-0.214	21.3
-0.219	21.2
-0.225	21.1
-0.230	21.0
-0.235	20.9
-0.241	20.7
-0.246	20.5
-0.251	20.4
-0.257	20.3
-0.262	20.0
-0.267	19.9
-0.273	19.8
-0.278	19.8
-0.283	19.9
-0.289	20.2
-0.294	20.3
-0.299	20.5
-0.305	20.5
-0.310	20.5
-0.316	20.5
-0.321	20.7
-0.326	20.9
-0.332	21.2
-0.337	21.4
-0.342	22.0
-0.348	22.1
-0.353	22.4
-0.358	22.7
-0.364	23.0
-0.369	23.2
-0.374	23.6
-0.380	23.9
-0.385	24.3
-0.390	24.8
-0.396	25.4
-0.401	26.1
-0.406	26.8
-0.412	27.6
-0.417	28.4
-0.422	29.1
-0.428	30.2
-0.433	31.1
-0.438	32.3
-0.444	33.5
-0.449	34.8
-0.455	36.3
-0.460	37.7
-0.465	39.3
-0.471	40.9
-0.476	42.4
-0.481	43.9
-0.487	45.5
-0.492	46.9
-0.497	48.2
-0.503	49.3
-0.508	50.3
-0.513	51.1
-0.519	51.4
-0.524	51.5
-0.529	51.2
-0.535	50.5
-0.540	49.4
-0.545	48.0
-0.551	46.5
-0.556	45.3
-0.561	44.3
-0.567	43.7
-0.572	43.0
-0.578	42.6
-0.583	42.4
-0.588	42.6
-0.594	43.0
-0.599	43.9
-0.604	45.1
-0.610	46.3
-0.615	47.6
-0.620	49.1
-0.626	50.8
-0.631	52.5
-0.636	54.3
-0.642	56.0
-0.647	57.6
-0.652	59.1
-0.658	60.1
-0.663	60.9
-0.668	61.1
-0.674	60.6
-0.679	59.4
-0.684	56.9
-0.690	55.0
-0.695	52.4
-0.701	49.9
-0.706	47.4
-0.711	45.3
-0.717	43.6
-0.722	42.2
-0.727	41.0
-0.733	40.1
-0.738	39.5
-0.743	39.2
-0.749	39.0
-0.754	39.0
-0.759	39.2
-0.765	39.5
-0.770	39.9
-0.775	40.0
-0.781	40.0
-0.786	39.7
-0.791	39.2
-0.797	38.6
-0.802	37.6
-0.807	36.1
-0.813	34.2
-0.818	32.2
-0.823	30.2
-0.829	28.2
-0.834	26.6
-0.840	25.1
-0.845	23.8
-0.850	22.9
-0.856	22.2
-0.861	21.6
-0.866	21.2
-0.872	20.8
-0.877	20.7
-0.882	20.7
-0.888	20.7
-0.893	20.8
-0.898	21.2
-0.904	21.6
-0.909	22.2
-0.914	22.8
-0.920	23.5
-0.925	24.2
-0.930	24.8
-0.936	25.3
-0.941	26.1
-0.946	27.2
-0.952	28.8
-0.957	31.0
-0.962	33.7
-0.968	36.9
-0.973	40.1
-0.979	43.0
-0.984	45.4
-0.989	47.0
-0.995	48.0
-1.000	48.2
-1.005	47.6
-1.011	46.5
-1.016	45.2
-1.021	44.0
-1.027	42.6
-1.032	42.4
-1.037	42.6
-1.043	43.4
-1.048	44.6
-1.053	46.3
-1.059	48.5
-1.064	51.1
-1.069	53.6
-1.075	55.9
-1.080	57.2
-1.085	57.6
-1.091	56.9
-1.096	54.9
-1.101	52.1
-1.107	48.8
-1.112	45.6
-1.118	42.9
-1.123	40.9
-1.128	39.5
-1.134	38.9
-1.139	38.6
-1.144	38.8
-1.150	39.2
-1.155	39.5
-1.160	39.5
-1.166	39.1
-1.171	38.0
-1.176	36.4
-1.182	34.1
-1.187	31.7
-1.192	29.0
-1.198	26.6
-1.203	24.7
-1.208	23.2
-1.214	22.2
-1.219	21.4
-1.224	20.9
-1.230	20.6
-1.235	20.6
-1.240	20.8
-1.246	21.2
-1.251	21.9
-1.256	22.8
-1.262	23.9
-1.267	25.3
-1.273	27.0
-1.278	28.9
-1.283	31.3
-1.289	33.8
-1.294	36.6
-1.299	39.6
-1.305	42.4
-1.310	44.8
-1.315	46.4
-1.321	46.9
-1.326	46.5
-1.331	45.2
-1.337	44.0
-1.342	42.9
-1.347	42.5
-1.353	42.9
-1.358	43.8
-1.363	45.6
-1.369	48.9
-1.374	50.8
-1.379	52.6
-1.385	54.0
-1.390	54.3
-1.395	52.7
-1.401	49.5
-1.406	45.5
-1.411	41.6
-1.417	38.7
-1.422	36.6
-1.428	35.4
-1.433	35.2
-1.438	35.3
-1.444	35.6
-1.449	35.6
-1.454	35.2
-1.460	34.0
-1.465	32.2
-1.470	29.6
