a	I
1.093	21.6
1.091	21.6
1.088	21.7
1.085	21.7
1.083	21.7
1.080	21.7
1.077	21.7
1.075	21.7
1.072	21.7
1.069	21.8
1.067	21.8
1.064	21.8
1.061	21.8
1.059	21.8
1.056	21.8
1.053	21.8
1.051	21.8
1.048	21.8
1.045	21.8
1.043	21.8
1.040	21.8
1.037	21.8
1.035	21.9
1.032	21.9
1.029	21.9
1.027	21.9
1.024	21.9
1.021	21.9
1.019	21.8
1.016	21.8
1.013	21.9
1.011	21.9
1.008	21.9
1.005	21.9
1.003	21.9
1.000	21.9
0.997	21.9
0.995	21.9
0.992	21.9
0.989	21.9
0.987	21.9
0.984	21.9
0.981	21.9
0.979	21.9
0.976	21.9
0.973	21.9
0.970	21.9
0.968	21.9
0.965	21.9
0.962	21.9
0.960	21.9
0.957	21.9
0.954	21.9
0.952	21.9
0.949	21.9
0.946	21.9
0.944	21.9
0.941	21.9
0.938	21.9
0.936	21.9
0.933	21.9
0.930	21.9
0.928	21.9
0.925	21.9
0.922	21.9
0.920	21.9
0.917	21.9
0.914	21.9
0.912	21.9
0.909	21.9
0.906	21.9
0.904	21.9
0.901	22.0
0.898	22.0
0.896	22.0
0.893	22.0
0.890	22.0
0.888	22.0
0.885	22.0
0.882	22.0
0.880	22.1
0.877	22.1
0.874	22.0
0.872	22.0
0.869	22.0
0.866	22.0
0.864	22.0
0.861	22.1
0.858	22.1
0.856	22.1
0.853	22.1
0.850	22.1
0.848	22.1
0.845	22.1
0.842	22.2
0.840	22.2
0.837	22.1
0.834	22.1
0.831	22.2
0.829	22.1
0.826	22.1
0.823	22.2
0.821	22.2
0.818	22.2
0.815	22.2
0.813	22.2
0.810	22.2
0.807	22.2
0.805	22.2
0.802	22.2
0.799	22.2
0.797	22.2
0.794	22.2
0.791	22.2
0.789	22.2
0.786	22.2
0.783	22.3
0.781	22.2
0.778	22.2
0.775	22.3
0.773	22.3
0.770	22.3
0.767	22.3
0.765	22.3
0.762	22.3
0.759	22.3
0.757	22.3
0.754	22.3
0.751	22.3
0.749	22.3
0.746	22.3
0.743	22.3
0.741	22.3
0.738	22.3
0.735	22.3
0.733	22.3
0.730	22.3
0.727	22.3
0.725	22.3
0.722	22.3
0.719	22.3
0.717	22.3
0.714	22.3
0.711	22.3
0.709	22.3
0.706	22.3
0.703	22.3
0.701	22.3
0.698	22.3
0.695	22.3
0.692	22.3
0.690	22.3
0.687	22.3
0.684	22.3
0.682	22.3
0.679	22.3
0.676	22.3
0.674	22.3
0.671	22.3
0.668	22.4
0.666	22.3
0.663	22.4
0.660	22.3
0.658	22.3
0.655	22.3
0.652	22.4
0.650	22.4
0.647	22.4
0.644	22.4
0.642	22.4
0.639	22.4
0.636	22.4
0.634	22.4
0.631	22.5
0.628	22.5
0.626	22.5
0.623	22.5
0.620	22.4
0.618	22.4
0.615	22.5
0.612	22.5
0.610	22.5
0.607	22.5
0.604	22.5
0.602	22.5
0.599	22.5
0.596	22.5
0.594	22.5
0.591	22.5
0.588	22.5
0.586	22.5
0.583	22.5
0.580	22.5
0.578	22.5
0.575	22.6
0.572	22.5
0.570	22.5
0.567	22.5
0.564	22.5
0.561	22.5
0.559	22.5
0.556	22.5
0.553	22.5
0.551	22.5
0.548	22.5
0.545	22.5
0.543	22.5
0.540	22.5
0.537	22.5
0.535	22.5
0.532	22.5
0.529	22.5
0.527	22.5
0.524	22.5
0.521	22.5
0.519	22.5
0.516	22.5
0.513	22.5
0.511	22.5
0.508	22.5
0.505	22.5
0.503	22.5
0.500	22.5
0.497	22.5
0.495	22.4
0.492	22.5
0.489	22.5
0.487	22.4
0.484	22.4
0.481	22.5
0.479	22.5
0.476	22.5
0.473	22.5
0.471	22.5
0.468	22.5
0.465	22.5
0.463	22.5
0.460	22.5
0.457	22.5
0.455	22.5
0.452	22.5
0.449	22.5
0.447	22.5
0.444	22.5
0.441	22.6
0.438	22.6
0.436	22.5
0.433	22.5
0.430	22.5
0.428	22.5
0.425	22.6
0.422	22.6
0.420	22.6
0.417	22.6
0.414	22.6
0.412	22.6
0.409	22.6
0.406	22.6
0.404	22.6
0.401	22.6
0.398	22.6
0.396	22.6
0.393	22.6
0.390	22.6
0.388	22.7
0.385	22.7
0.382	22.7
0.380	22.7
0.377	22.7
0.374	22.7
0.372	22.7
0.369	22.7
0.366	22.7
0.364	22.7
0.361	22.7
0.358	22.7
0.356	22.7
0.353	22.7
0.350	22.7
0.348	22.7
0.345	22.7
0.342	22.7
0.340	22.7
0.337	22.7
0.334	22.7
0.332	22.7
0.329	22.7
0.326	22.7
0.324	22.7
0.321	22.7
0.318	22.8
0.316	22.7
0.313	22.7
0.310	22.7
0.307	22.8
0.305	22.7
0.302	22.7
0.299	22.7
0.297	22.7
0.294	22.7
0.291	22.7
0.289	22.7
0.286	22.7
0.283	22.7
0.281	22.7
0.278	22.7
0.275	22.7
0.273	22.7
0.270	22.7
0.267	22.7
0.265	22.7
0.262	22.7
0.259	22.7
0.257	22.7
0.254	22.7
0.251	22.7
0.249	22.7
0.246	22.7
0.243	22.7
0.241	22.7
0.238	22.7
0.235	22.7
0.233	22.7
0.230	22.7
0.227	22.7
0.225	22.7
0.222	22.7
0.219	22.7
0.217	22.8
0.214	22.8
0.211	22.8
0.209	22.8
0.206	22.8
0.203	22.8
0.201	22.8
0.198	22.8
0.195	22.8
0.193	22.8
0.190	22.8
0.187	22.8
0.184	22.8
0.182	22.8
0.179	22.8
0.176	22.8
0.174	22.9
0.171	22.9
0.168	22.8
0.166	22.8
0.163	22.8
0.160	22.8
0.158	22.9
0.155	22.9
0.152	22.9
0.150	22.8
0.147	22.9
0.144	22.9
0.142	22.9
0.139	22.9
0.136	22.9
0.134	23.0
0.131	22.9
0.128	23.0
0.126	23.0
0.123	23.0
0.120	23.0
0.118	23.0
0.115	23.0
0.112	23.0
0.110	22.9
0.107	22.9
0.104	22.9
0.102	22.9
0.099	22.9
0.096	22.9
0.094	22.9
0.091	22.9
0.088	22.9
0.086	22.9
0.083	22.9
0.080	22.9
0.078	22.9
0.075	22.9
0.072	22.9
0.070	22.9
0.067	22.9
0.064	22.9
0.061	22.9
0.059	22.9
0.056	22.9
0.053	22.9
0.051	22.9
0.048	22.9
0.045	22.9
0.043	22.9
0.040	22.9
0.037	22.9
0.035	22.9
0.032	22.9
0.029	22.9
0.027	22.9
0.024	23.0
0.021	23.0
0.019	23.0
0.016	23.1
0.013	23.1
0.011	23.1
0.008	23.1
0.005	23.2
0.003	23.3
0.000	23.4
-0.003	23.4
-0.005	23.4
-0.008	23.4
-0.011	23.4
-0.013	23.5
-0.016	23.5
-0.019	23.7
-0.021	24.0
-0.024	25.0
-0.027	27.2
-0.029	30.2
-0.032	32.6
-0.035	33.4
-0.037	32.1
-0.040	30.1
-0.043	28.5
-0.045	27.7
-0.048	27.3
-0.051	28.0
-0.053	32.7
-0.056	46.6
-0.059	66.5
-0.061	81.7
-0.064	87.5
-0.067	86.6
-0.070	72.9
-0.072	58.3
-0.075	47.6
-0.078	39.7
-0.080	33.7
-0.083	29.6
-0.086	27.1
-0.088	25.6
-0.091	24.8
-0.094	24.4
-0.096	24.0
-0.099	23.9
-0.102	23.8
-0.104	23.7
-0.107	23.6
-0.110	23.6
-0.112	23.5
-0.115	23.5
-0.118	23.5
-0.120	23.5
-0.123	23.4
-0.126	23.4
-0.128	23.4
-0.131	23.4
-0.134	23.4
-0.136	23.4
-0.139	23.3
-0.142	23.3
-0.144	23.3
-0.147	23.3
-0.150	23.2
-0.152	23.2
-0.155	23.2
-0.158	23.2
-0.160	23.2
-0.163	23.2
-0.166	23.1
-0.168	23.1
-0.171	23.1
-0.174	23.1
-0.176	23.1
-0.179	23.1
-0.182	23.1
-0.184	23.0
-0.187	23.0
-0.190	23.0
-0.193	23.0
-0.195	23.0
-0.198	23.0
-0.201	23.0
-0.203	23.0
-0.206	23.0
-0.209	22.9
-0.211	22.9
-0.214	22.9
-0.217	22.9
-0.219	22.9
-0.222	22.9
-0.225	22.9
-0.227	22.9
-0.230	22.9
-0.233	22.9
-0.235	22.9
-0.238	22.9
-0.241	22.8
-0.243	22.8
-0.246	22.8
-0.249	22.8
-0.251	22.8
-0.254	22.8
-0.257	22.8
-0.259	22.8
-0.262	22.8
-0.265	22.8
-0.267	22.8
-0.270	22.8
-0.273	22.8
-0.275	22.8
-0.278	22.7
-0.281	22.7
-0.283	22.7
-0.286	22.8
-0.289	22.8
-0.291	22.7
-0.294	22.7
