a	I
0.532	20.5
0.529	20.5
0.527	20.5
0.524	20.5
0.521	20.5
0.519	20.5
0.516	20.5
0.513	20.5
0.511	20.5
0.508	20.5
0.505	20.5
0.503	20.5
0.500	20.5
0.497	20.5
0.495	20.5
0.492	20.5
0.489	20.5
0.487	20.5
0.484	20.5
0.481	20.5
0.479	20.5
0.476	20.5
0.473	20.5
0.471	20.5
0.468	20.5
0.465	20.5
0.463	20.5
0.460	20.5
0.457	20.5
0.455	20.5
0.452	20.5
0.449	20.5
0.447	20.5
0.444	20.5
0.441	20.5
0.438	20.5
0.436	20.5
0.433	20.5
0.430	20.5
0.428	20.5
0.425	20.5
0.422	20.5
0.420	20.5
0.417	20.5
0.414	20.5
0.412	20.5
0.409	20.5
0.406	20.5
0.404	20.5
0.401	20.5
0.398	20.5
0.396	20.5
0.393	20.5
0.390	20.5
0.388	20.5
0.385	20.5
0.382	20.5
0.380	20.5
0.377	20.5
0.374	20.5
0.372	20.5
0.369	20.5
0.366	20.5
0.364	20.5
0.361	20.5
0.358	20.5
0.356	20.5
0.353	20.5
0.350	20.5
0.348	20.5
0.345	20.5
0.342	20.5
0.340	20.5
0.337	20.5
0.334	20.5
0.332	20.5
0.329	20.5
0.326	20.5
0.324	20.5
0.321	20.5
0.318	20.5
0.316	20.5
0.313	20.5
0.310	20.5
0.307	20.5
0.305	20.5
0.302	20.5
0.299	20.5
0.297	20.5
0.294	20.4
0.291	20.5
0.289	20.5
0.286	20.4
0.283	20.4
0.281	20.4
0.278	20.4
0.275	20.4
0.273	20.4
0.270	20.4
0.267	20.4
0.265	20.4
0.262	20.4
0.259	20.4
0.257	20.4
0.254	20.4
0.251	20.4
0.249	20.4
0.246	20.4
0.243	20.4
0.241	20.4
0.238	20.4
0.235	20.4
0.233	20.4
0.230	20.4
0.227	20.4
0.225	20.4
0.222	20.4
0.219	20.4
0.217	20.4
0.214	20.4
0.211	20.4
0.209	20.4
0.206	20.4
0.203	20.4
0.201	20.4
0.198	20.4
0.195	20.4
0.193	20.4
0.190	20.4
0.187	20.4
0.184	20.5
0.182	20.4
0.179	20.4
0.176	20.4
0.174	20.4
0.171	20.4
0.168	20.4
0.166	20.4
0.163	20.4
0.160	20.4
0.158	20.5
0.155	20.4
0.152	20.4
0.150	20.4
0.147	20.4
0.144	20.4
0.142	20.4
0.139	20.4
0.136	20.4
0.134	20.4
0.131	20.4
0.128	20.4
0.126	20.4
0.123	20.4
0.120	20.4
0.118	20.4
0.115	20.4
0.112	20.4
0.110	20.4
0.107	20.4
0.104	20.5
0.102	20.5
0.099	20.5
0.096	20.5
0.094	20.5
0.091	20.5
0.088	20.5
0.086	20.4
0.083	20.4
0.080	20.4
0.078	20.4
0.075	20.4
0.072	20.4
0.070	20.4
0.067	20.4
0.064	20.4
0.061	20.4
0.059	20.4
0.056	20.4
0.053	20.4
0.051	20.4
0.048	20.6
0.045	21.8
0.043	23.1
0.040	23.4
0.037	22.9
0.035	22.2
0.032	21.8
0.029	24.4
0.027	35.7
0.024	46.3
0.021	47.0
0.019	41.7
0.016	35.2
0.013	29.7
0.011	25.8
0.008	23.5
0.005	22.3
0.003	21.7
0.000	21.0
-0.003	20.9
-0.005	20.8
-0.008	20.8
-0.011	20.7
-0.013	20.6
-0.016	20.5
-0.019	20.5
-0.021	20.5
-0.024	20.5
-0.027	20.4
-0.029	20.4
-0.032	20.4
-0.035	20.4
-0.037	20.4
-0.040	20.4
-0.043	20.4
-0.045	20.4
-0.048	20.4
-0.051	20.4
-0.053	20.3
-0.056	20.4
-0.059	20.4
-0.061	20.3
-0.064	20.3
-0.067	20.3
-0.070	20.3
-0.072	20.3
-0.075	20.3
-0.078	20.3
-0.080	20.2
-0.083	20.2
-0.086	20.2
-0.088	20.3
-0.091	20.2
-0.094	20.2
-0.096	20.2
-0.099	20.2
-0.102	20.2
-0.104	20.2
-0.107	20.2
-0.110	20.2
-0.112	20.1
-0.115	20.1
-0.118	20.1
-0.120	20.2
-0.123	20.1
-0.126	20.1
-0.128	20.1
-0.131	20.1
-0.134	20.1
-0.136	20.1
-0.139	20.1
-0.142	20.0
-0.144	20.0
-0.147	20.0
-0.150	20.0
-0.152	20.0
-0.155	20.0
-0.158	20.0
-0.160	20.0
-0.163	20.0
-0.166	19.9
-0.168	19.9
-0.171	20.0
-0.174	20.0
-0.176	19.9
-0.179	19.9
-0.182	19.9
-0.184	19.9
-0.187	19.9
-0.190	19.9
-0.193	19.9
-0.195	19.9
-0.198	19.9
-0.201	19.9
-0.203	19.9
-0.206	19.9
-0.209	19.9
-0.211	19.9
-0.214	19.9
-0.217	19.9
-0.219	19.9
-0.222	19.9
-0.225	19.9
-0.227	19.9
-0.230	19.9
-0.233	19.9
-0.235	19.9
-0.238	19.9
-0.241	19.8
-0.243	19.8
-0.246	19.8
-0.249	19.9
-0.251	19.8
-0.254	19.8
-0.257	19.8
-0.259	19.8
-0.262	19.8
-0.265	19.8
-0.267	19.8
-0.270	19.8
-0.273	19.8
-0.275	19.8
-0.278	19.8
-0.281	19.8
-0.283	19.8
-0.286	19.8
-0.289	19.8
-0.291	19.8
-0.294	19.8
-0.297	19.8
-0.299	19.8
-0.302	19.7
-0.305	19.7
-0.307	19.8
-0.310	19.7
-0.313	19.8
-0.316	19.7
-0.318	19.7
-0.321	19.7
-0.324	19.8
-0.326	19.8
-0.329	19.8
-0.332	19.7
-0.334	19.8
-0.337	19.7
-0.340	19.7
-0.342	19.7
-0.345	19.7
-0.348	19.7
-0.350	19.7
-0.353	19.6
-0.356	19.6
-0.358	19.6
-0.361	19.6
-0.364	19.6
-0.366	19.6
-0.369	19.6
-0.372	19.6
-0.374	19.6
-0.377	19.6
-0.380	19.6
-0.382	19.6
-0.385	19.6
-0.388	19.6
-0.390	19.6
-0.393	19.6
-0.396	19.6
-0.398	19.6
-0.401	19.6
-0.404	19.6
-0.406	19.6
-0.409	19.6
-0.412	19.6
-0.414	19.6
-0.417	19.6
-0.420	19.6
-0.422	19.6
-0.425	19.6
-0.428	19.6
-0.430	19.6
-0.433	19.6
-0.436	19.6
-0.438	19.6
-0.441	19.6
-0.444	19.6
-0.447	19.6
-0.449	19.6
-0.452	19.6
-0.455	19.6
-0.457	19.6
-0.460	19.6
-0.463	19.6
-0.465	19.6
-0.468	19.6
-0.471	19.6
-0.473	19.6
-0.476	19.6
-0.479	19.6
-0.481	19.6
-0.484	19.6
-0.487	19.6
-0.489	19.6
-0.492	19.6
-0.495	19.6
-0.497	19.6
-0.500	19.6
-0.503	19.6
-0.505	19.6
-0.508	19.6
-0.511	19.6
-0.513	19.6
-0.516	19.6
-0.519	19.6
-0.521	19.6
